No.Arrival/ Arrival time/ Service Begin/ Service completion
*observation time range  
From 11:30:00
To 13:30:00
Observer: Andy Yang
1 11:32:12 11:33:14 11:35:32
2 11:33:11 11:35:18 11:42:21
3 11:39:21 11:41:33 11:46:06
4 11:50:55 11:51:04 11:57:46
5 11:55:33 11:55:40 12:00:03
6 11:59:04 12:02:23 12:06:19
7 11:59:35 12:04:01 12:09:16
8 12:02:47 12:02:55 12:08:41
9 12:03:03 12:03:44 12:09:25
10 12:05:52 12:06:58 12:08:51
11 12:15:41 12:16:55 12:26:35
12 12:20:15 12:21:01 12:25:01
13 12:29:10 12:29:16 12:34:00
14 12:29:21 12:30:28 12:33:47
15 12:31:54 12:34:10 12:40:21
16 12:32:12 12:34:05 12:42:43
17 12:35:26 12:35:33 12:39:54
18 12:39:01 12:41:40 12:44:53
19 12:42:33 12:42:54 12:45:01
20 12:44:02 12:45:04 12:47:31
21 12:45:44 12:45:59 12:51:55
22 12:57:46 12:58:06 12:59:59
23 12:59:37 13:02:12 13:06:49
24 13:01:25 13:01:58 13:07:11
25 13:04:31 13:04:49 13:08:55
26 13:13:44 13:14:14 13:17:33
27 13:13:10 13:14:00 13:16:10
28 13:20:22 13:20:54 13:23:39
