No.Arrival/ Arrival time/ Service Begin/ Service completion
*observation time range  
From 11:46:00
To 13:30:00
Observer: Andy Yang
1 11:46:23 11:46:59 11:59:02
2 11:51:01 11:51:48 11:58:56
3 11:51:22 11:54:03 11:58:21
4 11:56:33 11:57:12 12:02:13
5 11:58:19 11:59:05 12:03:54
6 12:05:11 12:05:22 12:09:32
7 12:08:12 12:10:10 12:13:00
8 12:10:03 12:12:45 12:16:36
9 12:13:44 12:13:53 12:18:01
10 12:13:54 12:15:51 12:22:00
11 12:18:25 12:18:29 12:22:54
12 12:24:04 12:25:05 12:29:09
13 12:28:14 12:28:43 12:34:22
14 12:28:33 12:32:54 12:38:02
15 12:28:49 12:34:03 12:38:48
16 12:29:10 12:29:55 12:34:01
17 12:41:32 12:41:39 12:43:00
18 12:45:12 12:47:05 12:55:01
19 12:45:39 12:47:34 12:56:30
20 12:47:00 12:49:06 12:57:22
21 12:48:11 12:49:04 12:54:12
22 12:53:02 12:54:16 12:55:50
23 12:59:10 13:04:34 13:08:22
